Product_id,Price,Sale,weight,resoloution,ppi,cpu core,cpu freq,internal mem,ram,RearCam,Front_Cam,battery,thickness
203,2357,10,135,5.2,424,8,1.35,16,3,13,8,2610,7.4
880,1749,10,125,4,233,2,1.3,4,1,3.15,0,1700,9.9
40,1916,10,110,4.7,312,4,1.2,8,1.5,13,5,2000,7.6
99,1315,11,118.5,4,233,2,1.3,4,0.512,3.15,0,1400,11
880,1749,11,125,4,233,2,1.3,4,1,3.15,0,1700,9.9
947,2137,12,150,5.5,401,4,2.3,16,2,16,8,2500,9.5
774,1238,13,134.1,4,233,2,1.2,8,1,2,0,1560,11.7
947,2137,13,150,5.5,401,4,2.3,16,2,16,8,2500,9.5
99,1315,14,118.5,4,233,2,1.3,4,0.512,3.15,0,1400,11
1103,2580,15,145,5.1,432,4,2.5,16,2,16,2,2800,8.1
289,2438,16,162,5.3,277,8,1.5,32,4,13,8,4000,7.7
605,2006,16,161,5.5,200,8,1.4,4,1,5,0,2500,8.9
622,2174,16,140,5,294,4,1.3,16,1,13,5,2000,8.2
1058,2744,16,174,5.6,524,4,2.7,32,3,16,3.7,3000,8.3
1103,2580,16,145,5.1,432,4,2.5,16,2,16,2,2800,8.1
1120,1612,17,141,5,294,4,1.2,8,1.5,8,1.2,2040,10
187,2258,17,150,5,441,4,2.3,16,2,13,2,2300,10
315,2938,19,168,5.5,534,4,1.875,32,4,12.3,8,3450,8.5
1120,1612,19,141,5,294,4,1.2,8,1.5,8,1.2,2040,10
774,1238,20,134.1,4,233,2,1.2,8,1,2,0,1560,11.7
289,2438,21,162,5.3,277,8,1.5,32,4,13,8,4000,7.7
860,2392,22,147,5.2,282,8,1.4,32,3,13,16,2900,7.7
990,2977,22,152,5.1,577,8,2.3,32,4,12,5,3000,7.9
1058,2744,23,174,5.6,524,4,2.7,32,3,16,3.7,3000,8.3
104,1942,24,139.2,4.7,469,4,2.15,16,2,16,4,2200,10.3
776,1390,24,146,5,220,4,1.2,8,1,5,5,1905,8.8
605,2006,24,161,5.5,200,8,1.4,4,1,5,0,2500,8.9
315,2938,25,168,5.5,534,4,1.875,32,4,12.3,8,3450,8.5
776,1390,25,146,5,220,4,1.2,8,1,5,5,1905,8.8
10,1950,26,118,5,187,4,1.3,8,1,8,2,2000,6.4
187,2258,26,150,5,441,4,2.3,16,2,13,2,2300,10
990,2977,26,152,5.1,577,8,2.3,32,4,12,5,3000,7.9
1145,3316,26,144,5.2,428,8,1.75,32,3,20.7,5.1,2930,6.9
1020,2654,30,151,5.7,386,8,1.55,32,2,16,5,3050,5.9
1339,1421,31,120,4,233,2,1,4,0.512,2,0,1200,9.8
1020,2654,32,151,5.7,386,8,1.55,32,2,16,5,3050,5.9
104,1942,34,139.2,4.7,469,4,2.15,16,2,16,4,2200,10.3
662,2124,35,489,10.1,224,4,2.26,16,2,5,2,7400,7.8
575,1777,36,174,5.5,178,4,1.3,4,0.512,5,0,2250,9.2
860,2392,36,147,5.2,282,8,1.4,32,3,13,16,2900,7.7
662,2124,37,489,10.1,224,4,2.26,16,2,5,2,7400,7.8
907,2087,37,147,5,294,4,1.3,32,3,8,5,2450,7.6
162,1843,38,133.5,4.5,218,4,1.3,8,1,5,0,1600,10.1
907,2087,40,147,5,294,4,1.3,32,3,8,5,2450,7.6
974,2859,40,169,5.7,515,4,1.875,64,4,12,5,3500,7.9
739,1989,40,131,5,294,4,1.3,16,2,13,5,2500,8.7
1339,1421,40,120,4,233,2,1,4,0.512,2,0,1200,9.8
1145,3316,41,144,5.2,428,8,1.75,32,3,20.7,5.1,2930,6.9
162,1843,41,133.5,4.5,218,4,1.3,8,1,5,0,1600,10.1
738,2685,42,168,5.7,386,8,1.8,32,3,21,5,3050,7.5
804,1741,43,145,4.5,245,4,1.2,8,1,5,0,2390,12.3
43,1347,43,260,7,170,2,1.3,4,0.512,2,0,2820,9.1
974,2859,43,169,5.7,515,4,1.875,64,4,12,5,3500,7.9
1248,3658,45,168,5.15,428,8,2.45,64,6,12,8,3350,7.5
93,1984,45,154,5,294,4,1,8,1,8,5,3140,8.1
575,1777,45,174,5.5,178,4,1.3,4,0.512,5,0,2250,9.2
1248,3658,52,168,5.15,428,8,2.45,64,6,12,8,3350,7.5
93,1984,57,154,5,294,4,1,8,1,8,5,3140,8.1
